English,Infinitiv,Stem,Imperative,Præsens,Datid,Perfektum
to open,at åbne,åbn,åbn,åbner,åbnede,åbnet
to change,at ændre,ændr,ændr,ændrer,ændrede,ændret
to work,at arbejde,arbejd,arbejd,arbejder,arbejdede,arbejdet
to carry,at bære,bær,bær,bærer,bar,båret
to begin,at begynde,begynd,begynd,begynder,begyndte,begyndt
to need,at behøve,behøv,behøv,behøver,behøvede,behøvet
to decide,at beslutte,beslutt,beslut,beslutter,besluttede,besluttet
to pay,at betale,betal,betal,betaler,betalte,betalt
to become,at blive,bliv,bliv,bliver,blev,blevet
to live,at bo,bo,bo,bor,boede,boet
to bring,at bringe,bring,bring,bringer,bragte,bragt
to use,at bruge,brug,brug,bruger,brugte,brugt
to break,at bryde,bryd,bryd,bryder,brød,brudt
to build,at bygge,bygg,byg,bygger,byggede,bygget
to die,at dø,dø,dø,dør,døde,død
to drink,at drikke,drikk,drik,drikker,drak,drukket
to love,at elske,elsk,elsk,elsker,elskede,elsket
to get/receive,at få,få,få,får,fik,fået
to fall,at falde,fald,fald,falder,faldt,faldet
to find,at finde,find,find,finder,fandt,fundet
to move,at flytte,flytt,flyt,flytter,flyttede,flyttet
to feel,at føle,føl,føl,føler,følte,følt
to follow,at følge,følg,følg,følger,fulgte,fulgt
to stay/remain,at forblive,forbliv,forbliv,forbliver,forblev,forblevet
to explain,at forklare,forklar,forklar,forklarer,forklarede,forklaret
to understand,at forstå,forstå,forstå,forstår,forstod,forstået
to wait/expect,at forvente,forvent,forvent,forventer,forventede,forventet
to go,at gå,gå,gå,går,gik,gået
to give,at give,giv,giv,giver,gav,givet
to forget,at glemme,glemm,glem,glemmer,glemte,glemt
to do/make,at gøre,gør,gør,gør,gjorde,gjort
to cry,at græde,græd,græd,græder,græd,grædt
to laugh,at grine,grin,grin,griner,grinede,grinet
to hope,at håbe,håb,håb,håber,håbede,håbet
to have,at have,hav,hav,har,havde,haft
to help,at hjælpe,hjælp,hjælp,hjælper,hjalp,hjulpet
to hold,at holde,hold,hold,holder,holdt,holdt
to hear,at høre,hør,hør,hører,hørte,hørt
to remember,at huske,husk,husk,husker,huskede,husket
to call (name),at kalde,kald,kald,kalder,kaldte,kaldt
to know (be acquainted),at kende,kend,kend,kender,kendte,kendt
