English,Bydeform,Navneform,Nutid,Datid,Perfektum
to open,åbn,at åbne,åbner,åbnede,åbnet
to change,ændr,at ændre,ændrer,ændrede,ændret
to work,arbejd,at arbejde,arbejder,arbejdede,arbejdet
to need,behøv,at behøve,behøver,behøvede,behøvet
to decide,beslutt,at beslutte,beslutter,besluttede,besluttet
to live,bo,at bo,bor,boede,boet
to build,bygg,at bygge,bygger,byggede,bygget
to love,elsk,at elske,elsker,elskede,elsket
to move,flytt,at flytte,flytter,flyttede,flyttet
to explain,forklar,at forklare,forklarer,forklarede,forklaret
to wait/expect,forvent,at forvente,forventer,forventede,forventet
to laugh,grin,at grine,griner,grinede,grinet
to hope,håb,at håbe,håber,håbede,håbet
to remember,husk,at huske,husker,huskede,husket
to look/watch,kigg,at kigge,kigger,kiggede,kigget
to cut,klipp,at klippe,klipper,klippede,klippet
to cook,lav,at lave,laver,lavede,lavet
to play,leg,at lege,leger,legede,leget
to close,lukk,at lukke,lukker,lukkede,lukket
to listen,lytt,at lytte,lytter,lyttede,lyttet
to feel,mærk,at mærke,mærker,mærkede,mærket
to try,prøv,at prøve,prøver,prøvede,prøvet
to send back/return,returner,at returnere,returnerer,returnerede,returneret
to call (on phone),ring,at ringe,ringer,ringede,ringet
to push,skubb,at skubbe,skubber,skubbede,skubbet
to end/finish,slutt,at slutte,slutter,sluttede,sluttet
to smile,smil,at smile,smiler,smilede,smilet
to walk,spadser,at spadsere,spadserer,spadserede,spadseret
to play (music/sport),spill,at spille,spiller,spillede,spillet
to study,studer,at studere,studerer,studerede,studeret
to talk,snakk,at snakke,snakker,snakkede,snakket
to swim,svømm,at svømme,svømmer,svømmede,svømmet
to wash,vask,at vaske,vasker,vaskede,vasket
to wait,vent,at vente,venter,ventede,ventet
to grow,voks,at vokse,vokser,voksede,vokset
