English,Navneform,Ental Ubestemt,Ental Bestemt,Flertal Ubestemt,Flertal Bestemt
adventure,eventyr,et eventyr,eventyret,eventyr,eventyrerne
advice/council,råd,et råd,rådet,råd,rådene
anchor,anker,et anker,ankeret,ankre,ankrene
animal,dyr,et dyr,dyret,dyr,dyrene
bag,taske,en taske,tasken,tasker,taskerne
baker,bæger,et bæger,bægeret,bægre,bægrene
basket,kurv,en kurv,kurven,kurve,kurvene
bicycle,cykel,en cykel,cyklen,cykler,cyklerne
book,bog,en bog,bogen,bøger,bøgerne
book,bog,en bog,bogen,bøger,bøgerne
boy,dreng,en dreng,drengen,drenge,drengene
bread,brød,et brød,brødet,brød,brødene
broom,kost,en kost,kosten,koste,kostene
brother,bror,en bror,broren,brødre,brødrene
cafe,cafe,en cafe,cafeen,cafeer,cafeerne
candlestick,lysestage,en lysestage,lysestagen,lysestager,lysestagerne
car,bil,en bil,bilen,biler,bilerne
cat,kat,en kat,katten,katte,kattene
ceiling,loft,et loft,loftet,lofter,lofterne
center,centrum,et centrum,centret,centre,centrene
chair,stol,en stol,stolen,stole,stolene
child,barn,et barn,barnet,børn,børnene
city,by,en by,byen,byer,byerne
cloud,sky,en sky,skyen,skyer,skyerne
compendium,kompendium,et kompendium,kompendiet,kompendier,kompendierne
computer,computer,en computer,computeren,computere,computerne
cow,ko,en ko,koen,køer,køerne
cup,kop,en kop,koppen,kopper,kopperne
daughter,datter,en datter,datteren,døtre,døtrene
day,dag,en dag,dagen,dage,dagene
dog,hund,en hund,hunden,hunde,hundene
door,dør,en dør,døren,døre,dørene
duck,and,en and,anden,ænder,ænderne
ear,øre,et øre,øret,ører,ørerne
egg,æg,et æg,ægget,æg,æggene
exam,eksamen,en eksamen,eksamenen,eksamener,eksamenerne
eye,øje,et øje,øjet,øjne,øjnene
farmer,bonde,en bonde,bonden,bønder,bønderne
father,far,en far,faren/faderen,fædre,fædrene
finger,finger,en finger,fingeren,fingre/fingrer,fingrene
floor,gulv,et gulv,gulvet,gulve,gulvene
flower,blomst,en blomst,blomsten,blomster,blomsterne
foot,fod,en fod,foden,fødder,fødderne
foot,fod,en fod,foden,fødder,fødderne
fork,gaffel,en gaffel,gaflen,gafler,gaflerne
friend,ven,en ven,vennen,venner,vennerne
gift,gave,en gave,gaven,gaver,gaverne
girl,pige,en pige,pigen,piger,pigerne
glass,glas,et glas,glasset,glas,glassene
goal,mål,et mål,målet,mål,målene
goose,gås,en gås,gåsen,gæs,gæssene
hand,hånd,en hånd,hånden,hænder,hænderne
hat,hat,en hat,hatten,hatte,hattene
head,hoved,et hoved,hovedet,hoveder,hovederne
hen,høne,en høne,hønen,høns,hønsene
high school,gymnasium,et gymnasium,gymnasiet,gymnasier,gymnasierne
house,hus,et hus,huset,huse,husene
human,menneske,et menneske,mennesket,mennesker,
jacket,jakke,en jakke,jakken,jakker,jakkerne
jump,spring,et spring,springet,spring,springene
knee,knæ,et knæ,knæet,knæ,knæene
knife,kniv,en kniv,kniven,knive,knivene
lamp,lampe,en lampe,lampen,lamper,lamperne
leg,ben,et ben,benet,ben,benene
letter,bogstav,et bogstav,bogstavet,bogstaver,bogstaverne
lice,lus,en lus,lusen,lus,lusene
loss,tab,et tab,tabet,tab,tabene
man,mand,en mand,manden,mænd,mændene
month,måned,en måned,måneden,måneder,månederne
mother,mor,en mor,moren/moderen,mødre,mødrene
mouse,mus,en mus,musen,mus,musene
movie,film,en film,filmen,film,filmene
mug,krus,et krus,kruset,krus,krusene
museum,museum,et museum,museet,museer,museerne
newspaper,avis,en avis,avisen,aviser,aviserne
night,nat,en nat,natten,nætter,nætterne
offer,tilbud,et tilbud,tilbuddet,tilbud,tilbuddene
onion,løg,et løg,løget,løg,løgene
phone,telefon,en telefon,telefonen,telefoner,telefonerne
picture,billede,et billede,billedet,billeder,billederne
plant,plante,en plante,planten,planter,planterne
plate,tallerken,en tallerken,tallerkenen,tallerkener,tallerkenerne
question,spørgsmål,et spørgsmål,spørgsmålet,spørgsmål,spørgsmålene
race,løb,et løb,løbet,løb,løbene
relationship,forhold,et forhold,forholdet,forhold,forholdene
restaurant,restaurant,en restaurant,restauranten,restauranter,restauranterne
road,vej,en vej,vejen,veje,vejene
rooster,hane,en hane,hanen,haner,hanerne
root,rod,en rod,roden,rødder,rødderne
school,skole,en skole,skolen,skoler,skolerne
sheep,får,et får,fåret,får,fårene
shoe,sko,en sko,skoen,sko,skoene
shop,butik,en butik,butikken,butikker,butikkerne
sister,søster,en søster,søsteren,søstre,søstrene
song,sang,en sang,sangen,sange,sangene
spoon,ske,en ske,skeen,skeer,skeerne
square,plads,en plads,pladsen,pladser,pladserne
street,gade,en gade,gaden,gader,gaderne
student,elev,en elev,eleven,elever,eleverne
sweater,trøje,en trøje,trøjen,trøjer,trøjerne
table,bord,et bord,bordet,borde,bordene
teacher,lærer,en lærer,læreren,lærere,lærerne
tear,tåre,en tåre,tåren,tårer,tårerne
toe,tå,en tå,tåen,tæer,tæerne
tooth,tand,en tand,tanden,tænder,tænderne
tooth,tand,en tand,tanden,tænder,tænderne
tree,træ,et træ,træet,træer,træerne
tree,træ,et træ,træet,træer,træerne
wall,væg,en væg,væggen,vægge,væggene
week,uge,en uge,ugen,uger,ugerne
window,vindue,et vindue,vinduet,vinduer,vinduerne
word,ord,et ord,ordet,ord,ordene
year,år,et år,året,år,årene
