English,Navneform,Ental Ubestemt,Ental Bestemt,Flertal Ubestemt,Flertal Bestemt
anchor,anker,et anker,ankeret,ankre,ankrene
bag,taske,en taske,tasken,tasker,taskerne
baker,bæger,et bæger,bægeret,bægre,bægrene
basket,kurv,en kurv,kurven,kurve,kurvene
bicycle,cykel,en cykel,cyklen,cykler,cyklerne
boy,dreng,en dreng,drengen,drenge,drengene
broom,kost,en kost,kosten,koste,kostene
cafe,cafe,en cafe,cafeen,cafeer,cafeerne
candlestick,lysestage,en lysestage,lysestagen,lysestager,lysestagerne
car,bil,en bil,bilen,biler,bilerne
cat,kat,en kat,katten,katte,kattene
center,centrum,et centrum,centret,centre,centrene
chair,stol,en stol,stolen,stole,stolene
city,by,en by,byen,byer,byerne
closet,skab,et skab,skabet,skabe,skabene
cloud,sky,en sky,skyen,skyer,skyerne
computer,computer,en computer,computeren,computere,computerne
cup,kop,en kop,koppen,kopper,kopperne
day,dag,en dag,dagen,dage,dagene
dog,hund,en hund,hunden,hunde,hundene
door,dør,en dør,døren,døre,dørene
ear,øre,et øre,øret,ører,ørerne
eye,øje,et øje,øjet,øjne,øjnene
floor,gulv,et gulv,gulvet,gulve,gulvene
flower,blomst,en blomst,blomsten,blomster,blomsterne
gift,gave,en gave,gaven,gaver,gaverne
girl,pige,en pige,pigen,piger,pigerne
hat,hat,en hat,hatten,hatte,hattene
high school,gymnasium,et gymnasium,gymnasiet,gymnasier,gymnasierne
house,hus,et hus,huset,huse,husene
human,menneske,et menneske,mennesket,mennesker,menneskene
jacket,jakke,en jakke,jakken,jakker,jakkerne
knife,kniv,en kniv,kniven,knive,knivene
lamp,lampe,en lampe,lampen,lamper,lamperne
leaf,blad,et blad,bladet,blade,bladene
letter,bogstav,et bogstav,bogstavet,bogstaver,bogstaverne
mittens,vant,en vante,vanten,vanter,vanterne
month,måned,en måned,måneden,måneder,månederne
newspaper,avis,en avis,avisen,aviser,aviserne
phone,telefon,en telefon,telefonen,telefoner,telefonerne
picture,billede,et billede,billedet,billeder,billederne
place,sted,et sted,stedet,steder,stederne
plant,plante,en plante,planten,planter,planterne
plate,tallerken,en tallerken,tallerkenen,tallerkener,tallerkenerne
restaurant,restaurant,en restaurant,restauranten,restauranter,restauranterne
road,vej,en vej,vejen,veje,vejene
rooster,hane,en hane,hanen,haner,hanerne
school,skole,en skole,skolen,skoler,skolerne
ship,skib,et skib,skibet,skibe,skibene
shop,butik,en butik,butikken,butikker,butikkerne
song,sang,en sang,sangen,sange,sangene
spoon,ske,en ske,skeen,skeer,skeerne
square,plads,en plads,pladsen,pladser,pladserne
street,gade,en gade,gaden,gader,gaderne
student,elev,en elev,eleven,elever,eleverne
sweater,trøje,en trøje,trøjen,trøjer,trøjerne
table,bord,et bord,bordet,borde,bordene
teacher,lærer,en lærer,læreren,lærere,lærerne
tear,tåre,en tåre,tåren,tårer,tårerne
tree,træ,et træ,træet,træer,træerne
volume,bind,et bind,bindet,bind,bindene
wall,væg,en væg,væggen,vægge,væggene
week,uge,en uge,ugen,uger,ugerne
window,vindue,et vindue,vinduet,vinduer,vinduerne
wish,ønsk,et ønsk,ønsket,ønsker,ønskerne
